Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,197,138,15,68,418
All,dolphin-2.6-mistral,controlled,26,327,12,53,418
All,dolphin-2.6-mistral,controlled_md,33,312,13,60,418
All,dolphin-2.6-mistral,via_description,17,296,23,82,418
All,dolphin-2.6-phi-2,controlled,0,413,1,4,418
All,dolphin-2.6-phi-2,controlled_md,1,408,1,8,418
All,dolphin-2.7-mixtral,controlled_md,52,281,16,69,418
All,llama3-8b,controlled_md,7,388,4,19,418
All,mistral,controlled,17,363,12,26,418
All,mistral,controlled_md,21,363,10,24,418
All,mistral,via_description,8,347,12,51,418
All,mixtral,controlled,55,308,5,50,418
All,mixtral,controlled_md,52,294,17,55,418
All,phi3,controlled_md,3,397,0,18,418
avatar,codestral,controlled_md,94,83,11,34,222
avatar,dolphin-2.6-mistral,controlled,11,178,5,28,222
avatar,dolphin-2.6-mistral,controlled_md,15,168,7,32,222
avatar,dolphin-2.6-mistral,via_description,10,159,16,37,222
avatar,dolphin-2.6-phi-2,controlled,0,218,0,4,222
avatar,dolphin-2.6-phi-2,controlled_md,1,215,0,6,222
avatar,dolphin-2.7-mixtral,controlled_md,24,162,8,28,222
avatar,llama3-8b,controlled_md,2,205,3,12,222
avatar,mistral,controlled,7,197,7,11,222
avatar,mistral,controlled_md,10,199,6,7,222
avatar,mistral,via_description,2,185,7,28,222
avatar,mixtral,controlled,22,165,2,33,222
avatar,mixtral,controlled_md,25,161,7,29,222
avatar,phi3,controlled_md,1,214,0,7,222
codenet,codestral,controlled_md,103,55,4,34,196
codenet,dolphin-2.6-mistral,controlled,15,149,7,25,196
codenet,dolphin-2.6-mistral,controlled_md,18,144,6,28,196
codenet,dolphin-2.6-mistral,via_description,7,137,7,45,196
codenet,dolphin-2.6-phi-2,controlled,0,195,1,0,196
codenet,dolphin-2.6-phi-2,controlled_md,0,193,1,2,196
codenet,dolphin-2.7-mixtral,controlled_md,28,119,8,41,196
codenet,llama3-8b,controlled_md,5,183,1,7,196
codenet,mistral,controlled,10,166,5,15,196
codenet,mistral,controlled_md,11,164,4,17,196
codenet,mistral,via_description,6,162,5,23,196
codenet,mixtral,controlled,33,143,3,17,196
codenet,mixtral,controlled_md,27,133,10,26,196
codenet,phi3,controlled_md,2,183,0,11,196
