Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,158,154,63,61,436
All,dolphin-2.6-mistral,controlled,33,343,20,40,436
All,dolphin-2.6-mistral,controlled_md,25,344,17,50,436
All,dolphin-2.6-mistral,via_description,20,309,15,92,436
All,dolphin-2.6-phi-2,controlled,0,426,5,5,436
All,dolphin-2.6-phi-2,controlled_md,1,429,1,5,436
All,dolphin-2.7-mixtral,controlled_md,48,335,17,36,436
All,llama3-8b,controlled_md,14,395,12,13,434
All,mistral,controlled,34,364,6,32,436
All,mistral,controlled_md,14,395,6,21,436
All,mistral,via_description,11,347,26,52,436
All,mixtral,controlled,49,341,11,35,436
All,mixtral,controlled_md,46,348,19,23,436
All,phi3,controlled_md,3,414,4,15,436
avatar,codestral,controlled_md,66,87,34,36,223
avatar,dolphin-2.6-mistral,controlled,8,180,11,24,223
avatar,dolphin-2.6-mistral,controlled_md,7,187,4,25,223
avatar,dolphin-2.6-mistral,via_description,5,166,11,41,223
avatar,dolphin-2.6-phi-2,controlled,0,218,1,4,223
avatar,dolphin-2.6-phi-2,controlled_md,0,221,0,2,223
avatar,dolphin-2.7-mixtral,controlled_md,18,172,11,22,223
avatar,llama3-8b,controlled_md,4,207,4,8,223
avatar,mistral,controlled,8,203,3,9,223
avatar,mistral,controlled_md,3,212,2,6,223
avatar,mistral,via_description,1,186,11,25,223
avatar,mixtral,controlled,14,181,7,21,223
avatar,mixtral,controlled_md,12,189,9,13,223
avatar,phi3,controlled_md,1,215,2,5,223
bithacks,codestral,controlled_md,6,5,1,2,14
bithacks,dolphin-2.6-mistral,controlled,1,11,0,2,14
bithacks,dolphin-2.6-mistral,controlled_md,0,13,0,1,14
bithacks,dolphin-2.6-mistral,via_description,0,10,0,4,14
bithacks,dolphin-2.6-phi-2,controlled,0,14,0,0,14
bithacks,dolphin-2.6-phi-2,controlled_md,0,14,0,0,14
bithacks,dolphin-2.7-mixtral,controlled_md,2,12,0,0,14
bithacks,llama3-8b,controlled_md,1,12,0,1,14
bithacks,mistral,controlled,2,11,0,1,14
bithacks,mistral,controlled_md,0,13,0,1,14
bithacks,mistral,via_description,0,11,0,3,14
bithacks,mixtral,controlled,4,10,0,0,14
bithacks,mixtral,controlled_md,4,7,0,3,14
bithacks,phi3,controlled_md,0,13,0,1,14
codenet,codestral,controlled_md,86,62,28,23,199
codenet,dolphin-2.6-mistral,controlled,24,152,9,14,199
codenet,dolphin-2.6-mistral,controlled_md,18,144,13,24,199
codenet,dolphin-2.6-mistral,via_description,15,133,4,47,199
codenet,dolphin-2.6-phi-2,controlled,0,194,4,1,199
codenet,dolphin-2.6-phi-2,controlled_md,1,194,1,3,199
codenet,dolphin-2.7-mixtral,controlled_md,28,151,6,14,199
codenet,llama3-8b,controlled_md,9,176,8,4,197
codenet,mistral,controlled,24,150,3,22,199
codenet,mistral,controlled_md,11,170,4,14,199
codenet,mistral,via_description,10,150,15,24,199
codenet,mixtral,controlled,31,150,4,14,199
codenet,mixtral,controlled_md,30,152,10,7,199
codenet,phi3,controlled_md,2,186,2,9,199
